00EJMA,Annfield Plain
00EJMB,Aycliffe East
00EJMC,Aycliffe North
00EJMD,Aycliffe West
00EJME,Barnard Castle East
00EJMF,Barnard Castle West
00EJMG,Belmont
00EJMH,Benfieldside
00EJMJ,Bishop Auckland Town
00EJMK,Blackhalls
00EJML,Brandon
00EJMM,Burnopfield and Dipton
00EJMN,Chester-le-Street North and East
00EJMP,Chester-le-Street South
00EJMQ,Chester-le-Street West Central
00EJMR,Chilton
00EJMS,Consett North
00EJMT,Coundon
00EJMU,Coxhoe
00EJMW,Craghead and South Moor
00EJMX,Crook North and Tow Law
00EJMY,Crook South
00EJMZ,Dawdon
00EJNA,Deerness Valley
00EJNB,Delves Lane and Consett South
00EJNC,Deneside
00EJND,Durham South
00EJNE,Easington
00EJNF,Elvet
00EJNG,Esh
00EJNH,Evenwood
00EJNJ,Ferryhill
00EJNK,Framwellgate Moor
00EJNL,Gilesgate
00EJNM,Horden
00EJNN,Lanchester
00EJNP,Leadgate and Medomsley
00EJNQ,Lumley
00EJNR,Murton
00EJNS,Neville's Cross
00EJNT,Newton Hall
00EJNU,Ouston and Urpeth
00EJNW,Pelton
00EJNX,Peterlee East
00EJNY,Peterlee West
00EJNZ,Sacriston
00EJPA,Seaham
00EJPB,Sedgefield
00EJPC,Sherburn
00EJPD,Shildon East
00EJPE,Shildon West
00EJPF,Shotton
00EJPG,Spennymoor and Middlestone
00EJPH,Stanley
00EJPJ,Tanfield
00EJPK,Thornley
00EJPL,Trimdon
00EJPM,Tudhoe
00EJPN,Weardale
00EJPP,West Auckland
00EJPQ,Willington
00EJPR,Wingate
00EJPS,Woodhouse Close
00EMMA,Alnwick
00EMMB,Amble
00EMMC,Amble West with Warkworth
00EMMD,Ashington Central
00EMME,Bamburgh
00EMMF,Bedlington Central
00EMMG,Bedlington East
00EMMH,Bedlington West
00EMMJ,Bellingham
00EMMK,Berwick East
00EMML,Berwick North
00EMMM,Berwick West with Ord
00EMMN,Bothal
00EMMP,Bywell
00EMMQ,Chevington with Longhorseley
00EMMR,Choppington
00EMMS,College
00EMMT,Corbridge
00EMMU,Cowpen
00EMMW,Cramlington East
00EMMX,Cramlington Eastfield
00EMMY,Cramlington North
00EMMZ,Cramlington South East
00EMNA,Cramlington Village
00EMNB,Cramlington West
00EMNC,Croft
00EMND,Haltwhistle
00EMNE,Hartley
00EMNF,Haydon
00EMNG,Haydon and Hadrian
00EMNH,Hexham Central with Acomb
00EMNJ,Hexham East
00EMNK,Hexham West
00EMNL,Hirst
00EMNM,Holywell
00EMNN,Humshaugh
00EMNP,Isabella
00EMNQ,Kitty Brewster
00EMNR,Lesbury
00EMNS,Longhoughton
00EMNT,Lynemouth
00EMNU,Morpeth Kirkhill
00EMNW,Morpeth North
00EMNX,Morpeth Stobhill
00EMNY,Newbiggin Central and East
00EMNZ,Newsham
00EMPA,Norham and Islandshires
00EMPB,Pegswood
00EMPC,Plessey
00EMPD,Ponteland East
00EMPE,Ponteland North
00EMPF,Ponteland South with Heddon
00EMPG,Ponteland West
00EMPH,Prudhoe East
00EMPJ,Prudhoe West
00EMPK,Rothbury
00EMPL,Seaton with Newbiggin West
00EMPM,Seghill with Seaton Delaval
00EMPN,Shilbottle
00EMPP,Sleekburn
00EMPQ,South Blyth
00EMPR,South Tynedale
00EMPS,Stakeford
00EMPT,Stocksfield and Broomhaugh
00EMPU,Ulgham
00EMPW,Wensleydale
00EMPX,Wooler
00EQMA,Alderley
00EQMB,Alsager
00EQMC,Bollington and Disley
00EQMD,Broken Cross
00EQME,Bucklow
00EQMF,Cholmondeley
00EQMG,Congleton Rural
00EQMH,Congleton Town East
00EQMJ,Congleton Town West
00EQMK,Crewe East
00EQML,Crewe North
00EQMM,Crewe South
00EQMN,Crewe West
00EQMP,Doddington
00EQMQ,Knutsford
00EQMR,Macclesfield Forest
00EQMS,Macclesfield Town
00EQMT,Macclesfield West
00EQMU,Middlewich
00EQMW,Nantwich
00EQMX,Poynton
00EQMY,Prestbury and Tytherington
00EQMZ,Rope
00EQNA,Sandbach
00EQNB,Sandbach East and Rode
00EQNC,Wilmslow North
00EQND,Wilmslow South
00EWMA,Abbey
00EWMB,Blacon
00EWMC,Boughton Heath and Vicars Cross
00EWMD,Broxton
00EWME,Central and Westminster
00EWMF,City
00EWMG,Eddisbury
00EWMH,Frodsham and Helsby
00EWMJ,Gowy
00EWMK,Grange and Rossmore
00EWML,Groves and Whitby
00EWMM,Hoole and Newton
00EWMN,Ledsham and Willaston
00EWMP,Marbury
00EWMQ,Mickle Trafford
00EWMR,Neston and Parkgate
00EWMS,Northwich East and Shakerley
00EWMT,Northwich West
00EWMU,Overleigh
00EWMW,Sutton and Manor
00EWMX,Upton
00EWMY,Weaver
00EWMZ,Winsford North and East
00EWNA,Winsford South and West
00HFMA,Bryher
00HFMB,St. Agnes
00HFMC,St. Martin's
00HFMD,St. Mary's
00HFME,Tresco
00KBMA,Brickhill
00KBMB,Bromham
00KBMC,Carlton
00KBMD,Castle
00KBME,Cauldwell
00KBMF,Clapham
00KBMG,De Parys
00KBMH,Eastcotts
00KBMJ,Goldington
00KBMK,Great Barford
00KBML,Harpur
00KBMM,Harrold
00KBMN,Kempston East
00KBMP,Kempston North
00KBMQ,Kempston South
00KBMR,Kingsbrook
00KBMS,Newnham
00KBMT,Oakley
00KBMU,Putnoe
00KBMW,Queen's Park
00KBMX,Riseley
00KBMY,Roxton
00KBMZ,Sharnbrook
00KBNA,Turvey
00KBNB,Wilshamstead
00KBNC,Wootton
00KCMA,Ampthill
00KCMB,Barton
00KCMC,Biggleswade
00KCMD,Cranfield
00KCME,Dunstable Downs
00KCMF,Flitwick East
00KCMG,Flitwick West
00KCMH,Grovebury
00KCMJ,Houghton Regis
00KCMK,Icknield
00KCML,Langford and Henlow Village
00KCMM,Leighton Linslade Central
00KCMN,Marston
00KCMP,Maulden and Houghton Conquest
00KCMQ,Northfields
00KCMR,Northill and Blunham
00KCMS,Plantation
00KCMT,Potton
00KCMU,Sandy
00KCMW,Shefford
00KCMX,Silsoe and Shillington
00KCMY,South East Bedfordshire
00KCMZ,South West Bedfordshire
00KCNA,Southcott
00KCNB,Stotfold and Arlesey
00KCNC,Toddington
00KCND,Watling
00KCNE,Woburn and Harlington
00QAMA,Dyce/Bucksburn/Danestone
00QAMB,Bridge of Don
00QAMC,Kingswells/Sheddocksley
00QAMD,Northfield
00QAME,Hilton/Stockethill
00QAMF,Tillydrone/Seaton/Old Aberdeen
00QAMG,Midstocket/Rosemount
00QAMH,George St/Harbour
00QAMJ,Lower Deeside
00QAMK,Hazlehead/Ashley/Queens Cross
00QAML,Airyhall/Broomhill/Garthdee
00QAMM,Torry/Ferryhill
00QAMN,Kincorth/Loirston
00QBMA,Banff and District
00QBMB,Troup
00QBMC,Fraserburgh and District
00QBMD,Central Buchan
00QBME,Peterhead North and Rattray
00QBMF,Peterhead South and Cruden
00QBMG,Turriff and District
00QBMH,Mid Formartine
00QBMJ,Ellon and District
00QBMK,West Garioch
00QBML,Inverurie and District
00QBMM,East Garioch
00QBMN,Westhill and District
00QBMP,Huntly, Strathbogie and Howe of Alford
00QBMQ,Aboyne, Upper Deeside and Donside
00QBMR,Banchory and Mid Deeside
00QBMS,North Kincardine
00QBMT,Stonehaven and Lower Deeside
00QBMU,Mearns
00QCMA,Kirriemuir and Dean
00QCMB,Brechin and Edzell
00QCMC,Forfar and District
00QCMD,Monifeith and Sidlaw
00QCME,Carnoustie and District
00QCMF,Arbroath West and Letham
00QCMG,Arbroath East and Lunan
00QCMH,Montrose and District
00QDMA,South Kintyre
00QDMB,Kintyre and the Islands
00QDMC,Mid Argyll
00QDMD,Oban South and the Isles
00QDME,Oban North and Lorn
00QDMF,Cowal
00QDMG,Dunoon
00QDMH,Isle of Bute
00QDMJ,Lomond North
00QDMK,Helensburgh Central
00QDML,Helensburgh and Lomond South
00QEMA,Tweeddale West
00QEMB,Tweeddale East
00QEMC,Galashiels and District
00QEMD,Selkirkshire
00QEME,Leaderdale and Melrose
00QEMF,Mid Berwickshire
00QEMG,East Berwickshire
00QEMH,Kelso and District
00QEMJ,Jedburgh and District
00QEMK,Hawick and Denholm
00QEML,Hawick and Hermitage
00QFMA,Clackmannanshire West
00QFMB,Clackmannanshire North
00QFMC,Clackmannanshire Central
00QFMD,Clackmannanshire South
00QFME,Clackmannanshire East
00QGMA,Lomond
00QGMB,Leven
00QGMC,Dumbarton
00QGMD,Kilpatrick
00QGME,Clydebank Central
00QGMF,Clydebank Waterfront
00QHMA,Stranraer and North Rhins
00QHMB,Wigtown West
00QHMC,Mid Galloway
00QHMD,Dee
00QHME,Castle Douglas and Glenkens
00QHMF,Abbey
00QHMG,North West Dumfries
00QHMH,Mid and Upper Nithsdale
00QHMJ,Lochar
00QHMK,Nith
00QHML,Annandale South
00QHMM,Annandale North
00QHMN,Annandale East and Eskdale
00QJMA,Strathmartine
00QJMB,Lochee
00QJMC,West End
00QJMD,Coldside
00QJME,Maryfield
00QJMF,North East
00QJMG,East End
00QJMH,The Ferry
00QKMA,Annick
00QKMB,Kilmarnock North
00QKMC,Kilmarnock West and Crosshouse
00QKMD,Kilmarnock East and Hurlford
00QKME,Kilmarnock South
00QKMF,Irvine Valley
00QKMG,Ballochmyle
00QKMH,Cumnock and New Cumnock
00QKMJ,Doon Valley
00QLMA,Milngavie
00QLMB,Bearsden North
00QLMC,Bearsden South
00QLMD,Campsie and Kirkintilloch North
00QLME,Bishopbriggs North and Torrance
00QLMF,Bishopbriggs South
00QLMG,Lenzie and Kirkintilloch South
00QLMH,Kirkintilloch East and Twechar
00QMMA,Musselburgh West
00QMMB,Musselburgh East and Carberry
00QMMC,Preston/Seton/Gosford
00QMMD,Fa'side
00QMME,North Berwick Coastal
00QMMF,Haddington and Lammermuir
00QMMG,Dunbar and East Linton
00QNMA,Neilston, Uplawmoor and Newton Mearns North
00QNMB,Barrhead
00QNMC,Giffnock and Thornliebank
00QNMD,Netherlee, Stamperland and Williamwood
00QNME,Newton Mearns South
00QNMF,Busby, Clarkston and Eaglesham
00QPMA,Almond
00QPMB,Pentland Hills
00QPMC,Drum Brae/Gyle
00QPMD,Forth
00QPME,Inverleith
00QPMF,Corstorphine/Murrayfield
00QPMG,Sighthill/Gorgie
00QPMH,Colinton/Fairmilehead
00QPMJ,Fountainbridge/Craiglockhart
00QPMK,Meadows/Morningside
00QPML,City Centre
00QPMM,Leith Walk
00QPMN,Leith
00QPMP,Craigentinny/Duddingston
00QPMQ,Southside/Newington
00QPMR,Liberton/Gilmerton
00QPMS,Portobello/Craigmillar
00QQMA,Bo'ness and Blackness
00QQMB,Grangemouth
00QQMC,Denny and Banknock
00QQMD,Carse, Kinnaird and Tryst
00QQME,Bonnybridge and Larbert
00QQMF,Falkirk North
00QQMG,Falkirk South
00QQMH,Lower Braes
00QQMJ,Upper Braes
00QRMA,West Fife and Coastal Villages
00QRMB,Dunfermline North
00QRMC,Dunfermline Central
00QRMD,Dunfermline South
00QRME,Rosyth
00QRMF,Inverkeithing and Dalgety Bay
00QRMG,The Lochs
00QRMH,Cowdenbeath
00QRMJ,Lochgelly and Cardenden
00QRMK,Burntisland, Kinghorn and Western Kirkcaldy
00QRML,Kirkcaldy North
00QRMM,Kirkcaldy Central
00QRMN,Kirkcaldy East
00QRMP,Glenrothes West and Kinglassie
00QRMQ,Glenrothes North, Leslie and Markinch
00QRMR,Glenrothes Central and Thornton
00QRMS,Howe of Fife and Tay Coast
00QRMT,Tay Bridgehead
00QRMU,St Andrews
00QRMW,East Neuk and Landward
00QRMX,Cupar
00QRMY,Leven, Kennoway and Largo
00QRMZ,Buckhaven, Methil and Wemyss Villages
00QSMA,Linn
00QSMB,Newlands/Auldburn
00QSMC,Greater Pollok
00QSMD,Craigton
00QSME,Govan
00QSMF,Pollokshields
